conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1795372393923588518,Tue May 28 08:31:49 +0000 2024,0,ASPILA dan FRPB Tanah Datar Bangun 5 Huntara untuk Korban Banjir Bandang dan Longsor https://t.co/L6gkYXmfVP,1795372393923588518,,,in,"Padang, Sumatera Barat",0,0,0,https://x.com/rakyatterkini/status/1795372393923588518,1554428897432719360,rakyatterkini
1795368535923028432,Tue May 28 08:16:30 +0000 2024,1,Merespon Banjir Bandang Sumatera Barat d'BestO Salurkan Bantuan Pada Sabtu (11/5/2024) petang beberapa daerah di Sumbar diguyur hujan dengan intensitas tinggi. Hujan tak kunjung reda. Tepat pukul 22.00 malam Galodo turun dengan deras di Agam Tanah Datar Padang Panjang dan https://t.co/Y7hQ1zXwxS,1795368539471380859,https://pbs.twimg.com/ext_tw_video_thumb/1795368464334630912/pu/img/ZQ-wT1uftP4DRDPI.jpg,mindaart,in,,0,1,0,https://x.com/mindaart/status/1795368539471380859,178600446,mindaart
1795350552186122730,Tue May 28 07:05:02 +0000 2024,0,Relawan Sijunjung Bantu Penanganan Banjir Bandang PMI Tanah Datar Beri Apresiasi https://t.co/aNqRFS8o5N lewat @tribunnews,1795350552186122730,,,in,,0,0,0,https://x.com/tribunpadangcom/status/1795350552186122730,1058656201645289473,tribunpadangcom
1795322861055627588,Tue May 28 05:15:00 +0000 2024,1,#MetroSiang Pemerintah Kabupaten Tanah Datar Sumatra Barat memutuskan untuk memperpanjang masa tanggap darurat penanganan bencana banjir bandang lahar dingin Gunung Marapi. Masa tanggap darurat diperpanjang hingga 14 hari ke depan. Link streaming : https://t.co/02eAzQ1kPh https://t.co/dpnkIL72vU,1795322861055627588,https://pbs.twimg.com/media/GOo67JlagAAa-Cz.jpg,,in,,0,0,0,https://x.com/Metro_TV/status/1795322861055627588,57261519,Metro_TV
1795298778632818826,Tue May 28 03:39:18 +0000 2024,0,87 Sarana Perdagangan di Tanah Datar Rusak Parah Akibat Banjir Kerugian Capai Rp2 Miliar https://t.co/v1wXNSoemF,1795298778632818826,,,in,"Padang, Sumatera Barat",0,0,0,https://x.com/rakyatterkini/status/1795298778632818826,1554428897432719360,rakyatterkini
1795080127048548358,Mon May 27 13:10:27 +0000 2024,0,Bantuan Dana Tunai untuk Korban Banjir Bandang Tanah Datar Rp981 Juta https://t.co/euGCnI8mJ8,1795080127048548358,,,in,"Padang, Sumatera Barat",0,0,0,https://x.com/rakyatterkini/status/1795080127048548358,1554428897432719360,rakyatterkini
1795076073325023501,Mon May 27 12:54:21 +0000 2024,0,Masa Tanggap Darurat diperpanjang hingga 8 Juni 2024 Tim SIGAB Nurul Hayat masih berlanjut aksi bersih-bersih dampak banjir bandang dan lahar dingin (Galodo) di Kabupaten Tanah Datar. https://t.co/NzqYjiKo21,1795076073325023501,https://pbs.twimg.com/media/GOlkLOha4AAOJPj.jpg,,in,Indonesia,0,0,0,https://x.com/nurulhayatku/status/1795076073325023501,1155803196,nurulhayatku
1795066956179276245,Mon May 27 12:18:07 +0000 2024,0,MIND ID Peduli Bantu Korban Bencana Banjir Tanah Datar dan Erupsi Gunung Ruang https://t.co/jC0AX70ga9 #InvestorDaily #investasi #Saham,1795066956179276245,,,in,"Jakarta, Indonesia",0,0,0,https://x.com/InvestorID/status/1795066956179276245,238091066,InvestorID
1794997081939259797,Mon May 27 07:40:28 +0000 2024,0,Menjadi salah satu perusahaan yg pertama-tama hadir memberikan bantuan bagi masyarakat Kabupaten Tanah Datar yg terdampak banjir bandang dan tanah longsor PLN Nusantara Power mendapatkan penghargaan dari Bupati Tanah Datar. #PLN #PLNNusantaraPower #TanggapBencana #SumateraBarat https://t.co/CjLMLHIENF,1794997081939259797,https://pbs.twimg.com/media/GOkcR_3bcAAKccL.jpg,,in,Pekanbaru,0,0,0,https://x.com/plnnp_updkpku/status/1794997081939259797,1689546816768057344,plnnp_updkpku
1794959247949914273,Mon May 27 05:10:08 +0000 2024,2,Lima pemuda dari Komunitas Pangkas Rambut dan Barber Sumatera Barat memberikan layanan pangkas gratis bagi warga yang terdampak bencana banjir lahar dingin Gunung Marapi di Tanah Datar Sumatera Barat. #banjirlahardingin #lahardingin #marapi #gunungmarapi #pangkasrambut #gratis https://t.co/YLevVOFZQ6,1794959247949914273,https://pbs.twimg.com/media/GOj5vzabEAAZSpo.jpg,,in,,0,1,0,https://x.com/Metro_TV/status/1794959247949914273,57261519,Metro_TV
1794957794619326791,Mon May 27 05:04:21 +0000 2024,0,Ketua Umum (Ketum) Bhayangkari Ny. Juliati Sigit Prabowo mengunjungi posko pengungsian banjir bandang di Kabupaten Tanah Datar Sumatera Barat. Dalam kegiatan tersebut Ketum Bhayangkari memberikan bantuan berupa paket sembako bagi masyarakat yang berada di tenda pengungsian. https://t.co/foIk3qVE3k,1794957794619326791,https://pbs.twimg.com/media/GOj4mInaYAAfpRG.jpg,,in,"Klaten, Jawa Tengah",0,0,0,https://x.com/PolsekManisren7/status/1794957794619326791,1459523663821115394,PolsekManisren7
1794957316678447575,Mon May 27 05:02:27 +0000 2024,0,Hari ini minggu tanggal 26 mei 2024 Personil polres tanah datar TNI dan Dinas terlkait masih melaksanakan pencarian korban hilang bencana alam banjir bandang kabupaten tanah datar https://t.co/tDz51ecvgZ,1794957316678447575,,,in,,0,0,0,https://x.com/Satlantas_TD/status/1794957316678447575,1234460573644967936,Satlantas_TD
1794945787266547866,Mon May 27 04:16:38 +0000 2024,0,IKTDP Bengkulu Serahkan Bantuan Rp70 Juta dan Pakaian untuk Korban Banjir Bandang Tanah Datar https://t.co/U9PDncEwCP,1794945787266547866,,,in,"Padang, Sumatera Barat",0,0,0,https://x.com/rakyatterkini/status/1794945787266547866,1554428897432719360,rakyatterkini
1794899044093030889,Mon May 27 01:10:54 +0000 2024,0,Gapopin Bantu 1.000 Tas Alat Tulis dan Seragam Sekolah untuk Korban Banjir di Agam dan Tanah Datar - https://t.co/PCRdolp3Qd,1794899044093030889,,,in,"Kota Padang, Sumatera Barat",0,0,0,https://x.com/benteng_sumbar/status/1794899044093030889,1679351642062491649,benteng_sumbar
1794838968141488592,Sun May 26 21:12:11 +0000 2024,0,Gapopin Bantu 1.000 Tas Alat Tulis dan Seragam Sekolah untuk Korban Banjir di Agam dan Tanah Datar https://t.co/wPSgimLB3U https://t.co/0Mgq8cedZV,1794838968141488592,https://pbs.twimg.com/media/GOiMh8VbMAAdzqd.jpg,,in,,0,0,0,https://x.com/Yahya_Kuranji/status/1794838968141488592,780020837927706624,Yahya_Kuranji
1794816327796048255,Sun May 26 19:42:13 +0000 2024,0,10 Korban Banjir Bandang Belum Ditemukan Pemkab Tanah Datar Perpanjang Masa Tanggap Darurat https://t.co/XNmtSIcgBl,1794816327796048255,,,in,"Solok, Sumatera Barat",0,0,0,https://x.com/compy_online/status/1794816327796048255,1320050434279501824,compy_online
1794802896007307744,Sun May 26 18:48:50 +0000 2024,0,Bupati Tanah Datar Tegaskan Pencarian Korban Banjir dan Longsor Terus Dilanjutkan https://t.co/2Pdpox1doB,1794802896007307744,,,in,"Padang, Sumatera Barat",0,0,0,https://x.com/rakyatterkini/status/1794802896007307744,1554428897432719360,rakyatterkini
1794739005130776959,Sun May 26 14:34:58 +0000 2024,0,Alhamdulillah Tim Sigab Nurul Hayat masih terus melakukan pembersihan material dampak banjir dan droping air bersih di wilayah Lima Kaum Kabupaten Tanah Datar. https://t.co/4PShPxqkUt,1794739005130776959,https://pbs.twimg.com/media/GOgxnNabYAAZ4-S.jpg,,in,Indonesia,0,0,0,https://x.com/nurulhayatku/status/1794739005130776959,1155803196,nurulhayatku
1794729675681591463,Sun May 26 13:57:53 +0000 2024,0,Forum Komunikasi Persatuan Warga Sungayang Serahkan Bantuan untuk Korban Banjir Bandang Tanah Datar https://t.co/U323qFN6ca,1794729675681591463,,,in,"Padang, Sumatera Barat",0,0,0,https://x.com/rakyatterkini/status/1794729675681591463,1554428897432719360,rakyatterkini
1794687426062880828,Sun May 26 11:10:00 +0000 2024,0,Satu Lagi Korban Banjir Bandang Lahar Dingin Ditemukan di Tanah Datar Jasad Telah Rusak https://t.co/rdDECIEzUp,1794687426062880828,,,in,"Kota Padang, Sumatera Barat",0,0,0,https://x.com/Sumbarkita_id/status/1794687426062880828,1289854699089272833,Sumbarkita_id
1793951872568746250,Fri May 24 10:27:11 +0000 2024,2,Tim SAR Kota Padang terus berupaya mencari 10 warga Kabupaten Tanah Datar yang diduga terseret banjir lahar dingin sejak Sabtu (11/5/2024). https://t.co/XosvYLk97h,1793951872568746250,,,in,Jakarta,0,0,2,https://x.com/kompascom/status/1793951872568746250,23343960,kompascom
1793903589557150037,Fri May 24 07:15:19 +0000 2024,0,Pemkab Tanah Datar Bangun 150 Rumah untuk Korban Banjir Bandang di Nagari Rambatan https://t.co/iukqIXjVSh,1793903589557150037,,,in,"Padang, Sumatera Barat",0,0,0,https://x.com/rakyatterkini/status/1793903589557150037,1554428897432719360,rakyatterkini
1793849496037888283,Fri May 24 03:40:22 +0000 2024,0,Masa tanggap darurat bencana banjir bandang dan lahar dingin di Kabupaten Tanah Datar Sumatera Barat yang seharusnya berakhir 25 Mei 2024 diperpanjang selama 14 hari. https://t.co/uD8NrpCK2L,1793849496037888283,https://pbs.twimg.com/media/GOUImdQbQAEyFfO.jpg,,in,,0,1,0,https://x.com/Metro_TV/status/1793849496037888283,57261519,Metro_TV
1793847163644186951,Fri May 24 03:31:06 +0000 2024,0,IPDN Salurkan Bantuan Senilai Rp360 Juta untuk Korban Banjir Bandang di Tanah Datar https://t.co/v4wiUlYMdu,1793847163644186951,,,in,"Padang, Sumatera Barat",0,0,0,https://x.com/rakyatterkini/status/1793847163644186951,1554428897432719360,rakyatterkini
1793833435485880409,Fri May 24 02:36:33 +0000 2024,0,Bencana Negeriku: Masih Ada Korban Hilang Belum Ditemukan Status Tanggap Darurat Banjir Bandang Tanah Datar Diperpanjang #bencananegeriku #banjirbandang #tanahdatar #sumbar https://t.co/8dBOriNTU7,1793833435485880409,,,in,Indonesia,0,0,0,https://x.com/faktualid_com/status/1793833435485880409,1390925711909687297,faktualid_com
1793831030861758620,Fri May 24 02:27:00 +0000 2024,0,Masa tanggap darurat bencana banjir bandang dan lahar dingin di Kabupaten Tanah Datar Sumatera Barat yang seharusnya berakhir 25 Mei 2024 diperpanjang selama 14 hari. https://t.co/UYI716jJp9,1793831030861758620,,,in,"DKI Jakarta, Indonesia",0,0,0,https://x.com/voidotid/status/1793831030861758620,1186946650595418116,voidotid
1793702855783924222,Thu May 23 17:57:40 +0000 2024,0,Sumatera Barat (23/05/2024) - Penyerahan Bantuan IPDN-Kemendagri Peduli Bencana Banjir Lahar Dingin kepada Bupati Tanah Datar di Rumah Dinas Bupati dan Bupati Agam di Posko Bencana Kecamatan Canduang. https://t.co/6bwh4S2UYI,1793702855783924222,https://pbs.twimg.com/media/GOSDPEpa8AAd7Mx.jpg,,in,"Jatinangor, Indonesia",0,0,0,https://x.com/HumasIpdn/status/1793702855783924222,1177418864411365377,HumasIpdn
1793690154596807114,Thu May 23 17:07:12 +0000 2024,2,BSIP Salurkan Donasi Untuk Korban Banjir Bandang Sumbar. Badan Standardisasi Instrumen Pertanian (BSIP) Kementerian Pertanian menyerahkan bantuan kepada warga yang terdampak bencana di Kabupaten Agam dan Kabupaten Tanah Datar Sumatera Barat Kamis (23/05/2024). https://t.co/HRSPSMcYld,1793690154596807114,https://pbs.twimg.com/ext_tw_video_thumb/1793689642128252929/pu/img/98BX3UZUHH55NxQm.jpg,,in,"Solok, Sumatera Barat",0,0,1,https://x.com/BSIPbuahtropika/status/1793690154596807114,798697594872426497,BSIPbuahtropika
1793671213996466265,Thu May 23 15:51:56 +0000 2024,32,Batalyon Komando 462 Kopasgat turut serta dlm membantu pendistribusian Bantuan Sosial berupa kebutuhan pokok hygiene kits dan kebutuhan lain ke Sumatera Barat pasca bencana banjir bandang lahar dingin di Kab. Agam Kab. Tanah Datar dan Kota Padang Panjang. Kamis (23/05). https://t.co/oKSbc2fsTV,1793671213996466265,https://pbs.twimg.com/media/GORmRaMbQAAiUzq.jpg,,in,"Mabes TNI, Cilangkap",0,3,6,https://x.com/Puspen_TNI/status/1793671213996466265,594386753,Puspen_TNI
1793658508887658804,Thu May 23 15:01:27 +0000 2024,3,Bakrie Amanah Beri Bantuan Logistik Kepada Penyintas Banjir Bandang di Tanah Datar Sumbar: Bakrie Amanah menyalurkan bantuan logistik kepada penyintas banjir bandang di wilayah Kabupaten Tanah Datar Sumatera Barat. https://t.co/trrjxlPSsE https://t.co/ismzRJb4Cx,1793658508887658804,https://pbs.twimg.com/media/GORa6MnaYAAAbjN.jpg,,in,"Pulo Gadung, Indonesia",0,1,1,https://x.com/tvOneNews/status/1793658508887658804,55507370,tvOneNews
1793657933353689380,Thu May 23 14:59:10 +0000 2024,0,BM 3 Sumut Serahkan Bantuan untuk Korban Banjir dan Longsor di Tanah Datar https://t.co/n35qUkPvmo,1793657933353689380,,,in,"Padang, Sumatera Barat",0,0,0,https://x.com/rakyatterkini/status/1793657933353689380,1554428897432719360,rakyatterkini
1793643054726779309,Thu May 23 14:00:03 +0000 2024,0,Masa tanggap darurat bencana banjir bandang dan lahar dingin di Kabupaten Tanah Datar Sumatera Barat yang seharusnya berakhir 25 Mei 2024 diperpanjang selama 14 hari. https://t.co/nKncXeA6KS,1793643054726779309,,,in,NKRI,0,0,0,https://x.com/antaranews/status/1793643054726779309,18071520,antaranews
1793600692952965160,Thu May 23 11:11:43 +0000 2024,1,BPKH Salurkan Bantuan Tahap 2 Untuk Korban Banjir Bandang dan Lahar Dingin di Tanah Datar via @infosumbar https://t.co/PyXSzzuymf #infosumbar,1793600692952965160,,,in,"Kota Padang, Sumatera Barat",0,0,0,https://x.com/infoSumbar/status/1793600692952965160,162721676,infoSumbar
